source,contest_key,contest_agg_id,category_key,category,contest,contest_total_votes,precincts_total,precincts_reporting,registered_voters,ballots_cast,candidate_index,candidate,party,votes,pct,winner_flag,choice_agg_id,crc,cro
summary,100,,C_0,Results,U.S. PRESIDENT,762390,55,53,0,0,0,DONALD J. TRUMP,REP,533556,69.984653523787,0,,0,0
summary,100,,C_0,Results,U.S. PRESIDENT,762390,55,53,0,0,1,KAMALA D. HARRIS,DEM,214309,28.1101535959286,0,,0,0
summary,100,,C_0,Results,U.S. PRESIDENT,762390,55,53,0,0,2,ROBERT F. KENNEDY JR.,IND,8947,1.17354634766983,0,,0,0
summary,100,,C_0,Results,U.S. PRESIDENT,762390,55,53,0,0,3,CHASE OLIVER,LBN,3047,0.399664213853802,0,,0,0
summary,100,,C_0,Results,U.S. PRESIDENT,762390,55,53,0,0,4,JILL STEIN,MTN,2531,0.331982318760739,0,,0,0
summary,150,,C_0,Results,U.S. SENATOR,747702,55,53,0,0,0,JIM JUSTICE,REP,514079,68.7545305482666,0,,0,0
summary,150,,C_0,Results,U.S. SENATOR,747702,55,53,0,0,1,GLENN ELLIOTT,DEM,207548,27.7581175388056,0,,0,0
summary,150,,C_0,Results,U.S. SENATOR,747702,55,53,0,0,2,DAVID MORAN,LBN,26075,3.48735191292788,0,,0,0
summary,200,,C_0,Results,"U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District",344145,28,26,0,0,0,CAROL MILLER,REP,228491,66.3938165598803,0,,0,0
summary,200,,C_0,Results,"U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District",344145,28,26,0,0,1,CHRIS BOB REED,DEM,90038,26.1628092809717,0,,0,0
summary,200,,C_0,Results,"U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District",344145,28,26,0,0,2,WES HOLDEN,IND,25616,7.44337415914803,0,,0,0
summary,250,,C_0,Results,"U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District",378965,27,27,0,0,0,RILEY MOORE,REP,268190,70.7690683836238,0,,0,0
summary,250,,C_0,Results,"U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District",378965,27,27,0,0,1,STEVEN WENDELIN,DEM,110775,29.2309316163762,0,,0,0
summary,300,,C_0,Results,GOVERNOR,740928,55,53,0,0,0,PATRICK MORRISEY,REP,459300,61.9898289712361,0,,0,0
summary,300,,C_0,Results,GOVERNOR,740928,55,53,0,0,1,STEVE WILLIAMS,DEM,233976,31.5787768852034,0,,0,0
summary,300,,C_0,Results,GOVERNOR,740928,55,53,0,0,2,ERIKA KLIE KOLENICH,LBN,21228,2.86505571391552,0,,0,0
summary,300,,C_0,Results,GOVERNOR,740928,55,53,0,0,3,S. MARSHALL WILSON,CST,16828,2.27120583916386,0,,0,0
summary,300,,C_0,Results,GOVERNOR,740928,55,53,0,0,4,CHASE LINKO-LOOPER,MTN,9596,1.29513259048113,0,,0,0
summary,350,,C_0,Results,SECRETARY OF STATE,718230,55,53,0,0,0,KRIS WARNER,REP,510992,71.1460117232641,0,,0,0
summary,350,,C_0,Results,SECRETARY OF STATE,718230,55,53,0,0,1,THORNTON COOPER,DEM,207238,28.8539882767359,0,,0,0
summary,400,,C_0,Results,AUDITOR,711228,55,53,0,0,0,MARK HUNT,REP,488737,68.7173452113809,0,,0,0
