contest_key,contest,category_key,category,county,county_eid,county_cid,county_precincts_total,county_precincts_reporting,county_total_votes,candidate_index,candidate,party,votes,pct
150,U.S. SENATOR,C_0,Results,Pendleton,122802,0005,9,9,3353,2,DAVID MORAN,LBN,81,2.4157470921562783
150,U.S. SENATOR,C_0,Results,Pleasants,122803,0005,10,10,3304,0,JIM JUSTICE,REP,2569,77.7542372881356
150,U.S. SENATOR,C_0,Results,Pleasants,122803,0005,10,10,3304,1,GLENN ELLIOTT,DEM,641,19.400726392251816
150,U.S. SENATOR,C_0,Results,Pleasants,122803,0005,10,10,3304,2,DAVID MORAN,LBN,94,2.8450363196125905
150,U.S. SENATOR,C_0,Results,Pocahontas,122804,0005,16,16,3804,0,JIM JUSTICE,REP,2649,69.6372239747634
150,U.S. SENATOR,C_0,Results,Pocahontas,122804,0005,16,16,3804,1,GLENN ELLIOTT,DEM,1014,26.65615141955836
150,U.S. SENATOR,C_0,Results,Pocahontas,122804,0005,16,16,3804,2,DAVID MORAN,LBN,141,3.7066246056782335
150,U.S. SENATOR,C_0,Results,Preston,122805,0005,28,28,14152,0,JIM JUSTICE,REP,9988,70.57659694742793
150,U.S. SENATOR,C_0,Results,Preston,122805,0005,28,28,14152,1,GLENN ELLIOTT,DEM,2477,17.502826455624646
150,U.S. SENATOR,C_0,Results,Preston,122805,0005,28,28,14152,2,DAVID MORAN,LBN,1687,11.920576596947429
150,U.S. SENATOR,C_0,Results,Putnam,122806,0005,46,46,26955,0,JIM JUSTICE,REP,19184,71.17046930068634
150,U.S. SENATOR,C_0,Results,Putnam,122806,0005,46,46,26955,1,GLENN ELLIOTT,DEM,6841,25.379335930254125
150,U.S. SENATOR,C_0,Results,Putnam,122806,0005,46,46,26955,2,DAVID MORAN,LBN,930,3.450194769059544
150,U.S. SENATOR,C_0,Results,Raleigh,122807,0005,60,60,29991,0,JIM JUSTICE,REP,21796,72.67513587409556
150,U.S. SENATOR,C_0,Results,Raleigh,122807,0005,60,60,29991,1,GLENN ELLIOTT,DEM,6970,23.240305424960823
150,U.S. SENATOR,C_0,Results,Raleigh,122807,0005,60,60,29991,2,DAVID MORAN,LBN,1225,4.084558700943616
150,U.S. SENATOR,C_0,Results,Randolph,122808,0005,27,27,11420,0,JIM JUSTICE,REP,8107,70.98949211908932
150,U.S. SENATOR,C_0,Results,Randolph,122808,0005,27,27,11420,1,GLENN ELLIOTT,DEM,2881,25.227670753064796
150,U.S. SENATOR,C_0,Results,Randolph,122808,0005,27,27,11420,2,DAVID MORAN,LBN,432,3.7828371278458848
150,U.S. SENATOR,C_0,Results,Ritchie,122809,0005,9,9,3944,0,JIM JUSTICE,REP,3278,83.11359026369168
150,U.S. SENATOR,C_0,Results,Ritchie,122809,0005,9,9,3944,1,GLENN ELLIOTT,DEM,547,13.869168356997971
150,U.S. SENATOR,C_0,Results,Ritchie,122809,0005,9,9,3944,2,DAVID MORAN,LBN,119,3.0172413793103448
150,U.S. SENATOR,C_0,Results,Roane,122810,0005,18,18,5441,0,JIM JUSTICE,REP,4100,75.3537952582246
150,U.S. SENATOR,C_0,Results,Roane,122810,0005,18,18,5441,1,GLENN ELLIOTT,DEM,1190,21.87097959933836
150,U.S. SENATOR,C_0,Results,Roane,122810,0005,18,18,5441,2,DAVID MORAN,LBN,151,2.775225142437052
150,U.S. SENATOR,C_0,Results,Summers,122811,0005,14,14,5135,0,JIM JUSTICE,REP,3708,72.21032132424537
150,U.S. SENATOR,C_0,Results,Summers,122811,0005,14,14,5135,1,GLENN ELLIOTT,DEM,1267,24.673807205452775
150,U.S. SENATOR,C_0,Results,Summers,122811,0005,14,14,5135,2,DAVID MORAN,LBN,160,3.11587147030185
150,U.S. SENATOR,C_0,Results,Taylor,122812,0005,17,17,7199,0,JIM JUSTICE,REP,5344,74.23253229615224
150,U.S. SENATOR,C_0,Results,Taylor,122812,0005,17,17,7199,1,GLENN ELLIOTT,DEM,1518,21.08626198083067
150,U.S. SENATOR,C_0,Results,Taylor,122812,0005,17,17,7199,2,DAVID MORAN,LBN,337,4.681205723017086
150,U.S. SENATOR,C_0,Results,Tucker,122813,0005,9,9,3611,0,JIM JUSTICE,REP,2544,70.45139850456937
150,U.S. SENATOR,C_0,Results,Tucker,122813,0005,9,9,3611,1,GLENN ELLIOTT,DEM,849,23.511492661312655
150,U.S. SENATOR,C_0,Results,Tucker,122813,0005,9,9,3611,2,DAVID MORAN,LBN,218,6.037108834117973
150,U.S. SENATOR,C_0,Results,Tyler,122814,0005,10,10,3553,0,JIM JUSTICE,REP,2795,78.66591612721643
150,U.S. SENATOR,C_0,Results,Tyler,122814,0005,10,10,3553,1,GLENN ELLIOTT,DEM,643,18.097382493667325
150,U.S. SENATOR,C_0,Results,Tyler,122814,0005,10,10,3553,2,DAVID MORAN,LBN,115,3.23670137911624
150,U.S. SENATOR,C_0,Results,Upshur,122815,0005,20,20,9690,0,JIM JUSTICE,REP,7437,76.74922600619195
150,U.S. SENATOR,C_0,Results,Upshur,122815,0005,20,20,9690,1,GLENN ELLIOTT,DEM,1879,19.391124871001033
150,U.S. SENATOR,C_0,Results,Upshur,122815,0005,20,20,9690,2,DAVID MORAN,LBN,374,3.8596491228070176
150,U.S. SENATOR,C_0,Results,Wayne,122816,0005,38,38,15243,0,JIM JUSTICE,REP,11416,74.89339368890639
150,U.S. SENATOR,C_0,Results,Wayne,122816,0005,38,38,15243,1,GLENN ELLIOTT,DEM,3392,22.252837367972184
150,U.S. SENATOR,C_0,Results,Wayne,122816,0005,38,38,15243,2,DAVID MORAN,LBN,435,2.8537689431214326
150,U.S. SENATOR,C_0,Results,Webster,122817,0005,12,12,2941,0,JIM JUSTICE,REP,2331,79.25875552533151
150,U.S. SENATOR,C_0,Results,Webster,122817,0005,12,12,2941,1,GLENN ELLIOTT,DEM,541,18.395103706222375
150,U.S. SENATOR,C_0,Results,Webster,122817,0005,12,12,2941,2,DAVID MORAN,LBN,69,2.346140768446107
